level,topics_num,S,E,free_energy,Renyi_entropy,levels,alpha,gamma,eta
1,1,-2.098583347131349,0.15033516165473076,2.2489185087860797,,3,0.5,0.5,0.5
2,3,-3.059690873466108,1.0003558745938894,10.179428494992214,5.089714247496107,3,0.5,0.5,0.5
3,10,-2.8180666155277247,0.7971486285054467,28.977814783782694,3.219757198198077,3,0.5,0.5,0.5
1,1,-2.5840711567111265,0.04125449901730816,2.625325655728435,,3,10.0,1.0,0.1
2,12,-3.3289451890033717,0.7940125682620439,40.7413548363025,3.7037595305729543,3,10.0,1.0,0.1
3,136,-3.5330807980400767,0.8987030007467633,481.3976915341972,3.565908826179238,3,10.0,1.0,0.1
1,1,-2.140753347541376,0.17681928705672487,2.3175726345981005,,3,10.0,0.5,1.0
2,4,-2.6011207500372375,1.02792309009485,11.4324060902438,3.8108020300812666,3,10.0,0.5,1.0
3,10,-3.817426792633177,1.8646039480433134,40.03887187437508,4.4487635415972315,3,10.0,0.5,1.0
1,1,-2.5530867295711297,0.030750583682882537,2.5838373132540124,,6,10.0,1.0,0.1
2,9,-3.2081387768672442,0.7590139505703598,29.632262942375558,3.7040328677969447,6,10.0,1.0,0.1
3,35,-3.755931529265442,1.2060511643708327,132.6636546886613,3.901872196725332,6,10.0,1.0,0.1
4,98,-4.754193605585065,1.9114614512078063,467.8224347985441,4.822911698954063,6,10.0,1.0,0.1
5,260,-5.305849245788978,2.44814775377823,1381.9689516589124,5.335787458142518,6,10.0,1.0,0.1
6,664,-5.296085209582886,2.382262451743291,3518.9828416147798,5.307666427774932,6,10.0,1.0,0.1
1,1,-2.5665404164404584,0.03191745527414397,2.5984578717146025,,6,0.5,5.0,0.1
2,23,-3.451967573659009,0.9709259629316445,80.36618015708885,3.653008188958584,6,0.5,5.0,0.1
3,181,-4.8058583519980616,2.1030231485149726,871.9633848601641,4.844241027000911,6,0.5,5.0,0.1
4,736,-6.1598460862038396,3.2746527431562433,4536.921372189182,6.172682139032901,6,0.5,5.0,0.1
5,1978,-7.206376537347921,4.285754316872992,14258.498545191062,7.212189451285312,6,0.5,5.0,0.1
6,4365,-7.9557017274386475,5.017379005475141,34731.65541927517,7.958674477377445,6,0.5,5.0,0.1
1,1,-2.648522988931821,0.03159751280210271,2.680120501733924,,3,20.0,5.0,0.1
2,21,-3.537130968295015,1.0039072853473656,75.28365761954268,3.764182880977134,3,20.0,5.0,0.1
3,278,-3.9762335209287976,1.2252081501188214,1106.6181269683245,3.9950112886943123,3,20.0,5.0,0.1
1,1,-2.4602092501150925,0.0879749962376183,2.5481842463527107,,6,10.0,0.5,0.5
2,3,-3.1009837557929667,1.1413276370962786,10.444278904475178,5.222139452237589,6,10.0,0.5,0.5
3,7,-3.362936915441627,1.4783056170140334,25.018864025105422,4.169810670850904,6,10.0,0.5,0.5
4,17,-3.8330243641098956,1.9335864261642655,67.0950006160325,4.193437538502031,6,10.0,0.5,0.5
5,31,-4.086065904712615,2.3957186728990885,129.06376171899015,4.302125390633005,6,10.0,0.5,0.5
6,61,-4.415033773321227,2.6817166613866963,271.99877683398154,4.533312947233026,6,10.0,0.5,0.5
1,1,-2.0816028550273167,0.15534695819736347,2.23694981322468,,3,0.5,1.0,0.5
2,6,-2.9248961558640434,1.0010781880618251,18.550455123246085,3.710091024649217,3,0.5,1.0,0.5
3,31,-3.5672326433257013,1.6221871104209917,112.20639905351774,3.7402133017839247,3,0.5,1.0,0.5
1,1,-2.160819782586685,0.15264954943664016,2.313469332023325,,3,10.0,0.5,0.5
2,5,-3.006189111462951,1.0033601445273272,16.034305701842083,4.008576425460521,3,10.0,0.5,0.5
3,24,-3.299905484908077,1.4591286077537249,80.65686024554758,3.5068200106759817,3,10.0,0.5,0.5
1,1,-2.1029140941358513,0.18431100635967165,2.287225100495523,,3,10.0,1.0,1.0
2,7,-3.4158848367642882,1.4854862588241682,25.396680116174185,4.232780019362364,3,10.0,1.0,1.0
3,22,-4.721805250251123,2.9847858345217686,106.86450134004647,5.088785778097451,3,10.0,1.0,1.0
1,1,-2.3200078263209263,0.13138652920233737,2.451394355523264,,6,10.0,1.0,0.5
